,Unnamed:_0,Invoice_ID,Branch,City,Customer_type,Gender,Product_line,Unit_price,Quantity,Tax_5%,Total,Date,Time,Payment,cogs,gross_margin_percentage,gross_income,Rating,Latitude,Longitude
35,35.0,232-16-2483,C,Naypyitaw,Member,Female,Sports and travel,68.12,1,3.406,71.526,2021-01-07,12:28,Ewallet,68.12,4.761904762,3.406,6.8,19.7633,96.0785
36,36.0,129-29-8530,A,Yangon,Member,Male,Sports and travel,62.62,5,15.655,328.755,2021-03-10,19:15,Ewallet,313.1,4.761904762,15.655,7.0,16.8409,96.1735
37,37.0,272-65-1806,A,Yangon,Normal,Female,Electronic accessories,60.88,9,27.396,575.316,2021-01-15,17:17,Ewallet,547.92,4.761904762,27.396,4.7,16.8409,96.1735
38,38.0,333-73-7901,C,Naypyitaw,Normal,Female,Health and beauty,54.92,8,21.968,461.328,2021-03-23,13:24,Ewallet,439.36,4.761904762,21.968,7.6,19.7633,96.0785
39,39.0,777-82-7220,B,Mandalay,Member,Male,Home and lifestyle,30.12,8,12.048,253.008,2021-03-03,13:01,Cash,240.96,4.761904762,12.048,7.7,21.9588,96.0891
40,40.0,280-35-5823,B,Mandalay,Member,Female,Home and lifestyle,86.72,1,4.336,91.056,2021-01-17,18:45,Ewallet,86.72,4.761904762,4.336,7.9,21.9588,96.0891
41,41.0,554-53-8700,C,Naypyitaw,Member,Male,Home and lifestyle,56.11,2,5.611,117.831,2021-02-02,10:11,Cash,112.22,4.761904762,5.611,6.3,19.7633,96.0785
42,42.0,354-25-5821,B,Mandalay,Member,Female,Sports and travel,69.12,6,20.736,435.456,2021-02-08,13:03,Cash,414.72,4.761904762,20.736,5.6,21.9588,96.0891
43,43.0,228-96-1411,C,Naypyitaw,Member,Female,Food and beverages,98.7,8,39.48,829.08,2021-03-04,20:39,Cash,789.6,4.761904762,39.48,7.6,19.7633,96.0785
44,44.0,617-15-4209,C,Naypyitaw,Member,Male,Health and beauty,15.37,2,1.537,32.277,2021-03-16,19:47,Cash,30.74,4.761904762,1.537,7.2,19.7633,96.0785
45,45.0,132-32-9879,B,Mandalay,Member,Female,Electronic accessories,93.96,4,18.792,394.632,2021-03-09,18:00,Cash,375.84,4.761904762,18.792,9.5,21.9588,96.0891
46,46.0,370-41-7321,B,Mandalay,Member,Male,Health and beauty,56.69,9,25.5105,535.7205,2021-02-27,17:24,Credit card,510.21,4.761904762,25.5105,8.4,21.9588,96.0891
47,47.0,727-46-3608,B,Mandalay,Member,Female,Food and beverages,20.01,9,9.0045,189.0945,2021-02-06,15:47,Ewallet,180.09,4.761904762,9.0045,4.1,21.9588,96.0891
48,48.0,669-54-1719,B,Mandalay,Member,Male,Electronic accessories,18.93,6,5.679,119.259,2021-02-10,12:45,Credit card,113.58,4.761904762,5.679,8.1,21.9588,96.0891
49,49.0,574-22-5561,C,Naypyitaw,Member,Female,Fashion accessories,82.63,10,41.315,867.615,2021-03-19,17:08,Ewallet,826.3,4.761904762,41.315,7.9,19.7633,96.0785
50,50.0,326-78-5178,C,Naypyitaw,Member,Male,Food and beverages,91.4,7,31.99,671.79,2021-02-03,10:19,Cash,639.8,4.761904762,31.99,9.5,19.7633,96.0785
51,51.0,162-48-8011,A,Yangon,Member,Female,Food and beverages,44.59,5,11.1475,234.0975,2021-02-10,15:10,Cash,222.95,4.761904762,11.1475,8.5,16.8409,96.1735
52,52.0,616-24-2851,B,Mandalay,Member,Female,Fashion accessories,17.87,4,3.574,75.054,2021-03-22,14:42,Ewallet,71.48,4.761904762,3.574,6.5,21.9588,96.0891
53,53.0,778-71-5554,C,Naypyitaw,Member,Male,Fashion accessories,15.43,1,0.7715,16.2015,2021-01-25,15:46,Credit card,15.43,4.761904762,0.7715,6.1,19.7633,96.0785
54,54.0,242-55-6721,B,Mandalay,Normal,Male,Home and lifestyle,16.16,2,1.616,33.936,2021-03-07,11:49,Ewallet,32.32,4.761904762,1.616,6.5,21.9588,96.0891
55,55.0,399-46-5918,C,Naypyitaw,Normal,Female,Electronic accessories,85.98,8,34.392,722.232,2021-02-28,19:01,Cash,687.84,4.761904762,34.392,8.2,19.7633,96.0785
56,56.0,106-35-6779,A,Yangon,Member,Male,Home and lifestyle,44.34,2,4.434,93.114,2021-03-27,11:26,Cash,88.68,4.761904762,4.434,5.8,16.8409,96.1735
57,57.0,635-40-6220,A,Yangon,Normal,Male,Health and beauty,89.6,8,35.84,752.64,2021-02-07,11:28,Ewallet,716.8,4.761904762,35.84,6.6,16.8409,96.1735
58,58.0,817-48-8732,A,Yangon,Member,Female,Home and lifestyle,72.35,10,36.175,759.675,2021-01-20,15:55,Cash,723.5,4.761904762,36.175,5.4,16.8409,96.1735
59,59.0,120-06-4233,C,Naypyitaw,Normal,Male,Electronic accessories,30.61,6,9.183,192.843,2021-03-12,20:36,Cash,183.66,4.761904762,9.183,9.3,19.7633,96.0785
60,60.0,285-68-5083,C,Naypyitaw,Member,Female,Sports and travel,24.74,3,3.711,77.931,2021-02-15,17:47,Credit card,74.22,4.761904762,3.711,10.0,19.7633,96.0785
61,61.0,803-83-5989,C,Naypyitaw,Normal,Male,Home and lifestyle,55.73,6,16.719,351.099,2021-02-24,10:55,Ewallet,334.38,4.761904762,16.719,7.0,19.7633,96.0785
62,62.0,347-34-2234,B,Mandalay,Member,Female,Sports and travel,55.07,9,24.7815,520.4115,2021-02-03,13:40,Ewallet,495.63,4.761904762,24.7815,10.0,21.9588,96.0891
63,63.0,199-75-8169,A,Yangon,Member,Male,Sports and travel,15.81,10,7.905,166.005,2021-03-06,12:27,Credit card,158.1,4.761904762,7.905,8.6,16.8409,96.1735
64,64.0,853-23-2453,B,Mandalay,Member,Male,Health and beauty,75.74,4,15.148,318.108,2021-02-14,14:35,Cash,302.96,4.761904762,15.148,7.6,21.9588,96.0891
65,65.0,877-22-3308,A,Yangon,Member,Male,Health and beauty,15.87,10,7.935,166.635,2021-03-13,16:40,Cash,158.7,4.761904762,7.935,5.8,16.8409,96.1735
66,66.0,838-78-4295,C,Naypyitaw,Normal,Female,Health and beauty,33.47,2,3.347,70.287,2021-02-10,15:43,Ewallet,66.94,4.761904762,3.347,6.7,19.7633,96.0785
67,67.0,109-28-2512,B,Mandalay,Member,Female,Fashion accessories,97.61,6,29.283,614.943,2021-01-07,15:01,Ewallet,585.66,4.761904762,29.283,9.9,21.9588,96.0891
68,68.0,232-11-3025,A,Yangon,Normal,Male,Sports and travel,78.77,10,39.385,827.085,2021-01-24,10:04,Cash,787.7,4.761904762,39.385,6.4,16.8409,96.1735
69,69.0,382-03-4532,A,Yangon,Member,Female,Health and beauty,18.33,1,0.9165,19.2465,2021-02-02,18:50,Cash,18.33,4.761904762,0.9165,4.3,16.8409,96.1735
70,70.0,393-65-2792,C,Naypyitaw,Normal,Male,Food and beverages,89.48,10,44.74,939.54,2021-01-06,12:46,Credit card,894.8,4.761904762,44.74,9.6,19.7633,96.0785
71,71.0,796-12-2025,C,Naypyitaw,Normal,Male,Fashion accessories,62.12,10,31.06,652.26,2021-02-11,16:19,Cash,621.2,4.761904762,31.06,5.9,19.7633,96.0785
72,72.0,510-95-6347,B,Mandalay,Member,Female,Food and beverages,48.52,3,7.278,152.838,2021-03-05,18:17,Ewallet,145.56,4.761904762,7.278,4.0,21.9588,96.0891
73,73.0,841-35-6630,C,Naypyitaw,Normal,Female,Electronic accessories,75.91,6,22.773,478.233,2021-03-09,18:21,Cash,455.46,4.761904762,22.773,8.7,19.7633,96.0785
74,74.0,287-21-9091,A,Yangon,Normal,Male,Home and lifestyle,74.67,9,33.6015,705.6315,2021-01-22,10:55,Ewallet,672.03,4.761904762,33.6015,9.4,16.8409,96.1735
75,75.0,732-94-0499,C,Naypyitaw,Normal,Female,Electronic accessories,41.65,10,20.825,437.325,2021-01-13,17:04,Credit card,416.5,4.761904762,20.825,5.4,19.7633,96.0785
76,76.0,263-10-3913,C,Naypyitaw,Member,Male,Fashion accessories,49.04,9,22.068,463.428,2021-01-09,14:20,Credit card,441.36,4.761904762,22.068,8.6,19.7633,96.0785
77,77.0,381-20-0914,A,Yangon,Member,Female,Fashion accessories,20.01,9,9.0045,189.0945,2021-01-12,15:48,Credit card,180.09,4.761904762,9.0045,5.7,16.8409,96.1735
78,78.0,829-49-1914,C,Naypyitaw,Member,Female,Food and beverages,78.31,10,39.155,822.255,2021-03-05,16:24,Ewallet,783.1,4.761904762,39.155,6.6,19.7633,96.0785
79,79.0,756-01-7507,C,Naypyitaw,Normal,Female,Health and beauty,20.38,5,5.095,106.995,2021-01-22,18:56,Cash,101.9,4.761904762,5.095,6.0,19.7633,96.0785
80,80.0,870-72-4431,C,Naypyitaw,Normal,Female,Health and beauty,99.19,6,29.757,624.897,2021-01-21,14:42,Credit card,595.14,4.761904762,29.757,5.5,19.7633,96.0785
81,81.0,847-38-7188,B,Mandalay,Normal,Female,Food and beverages,96.68,3,14.502,304.542,2021-01-26,19:56,Ewallet,290.04,4.761904762,14.502,6.4,21.9588,96.0891
82,82.0,480-63-2856,C,Naypyitaw,Normal,Male,Food and beverages,19.25,8,7.7,161.7,2021-01-23,18:37,Ewallet,154.0,4.761904762,7.7,6.6,19.7633,96.0785
83,83.0,787-56-0757,C,Naypyitaw,Member,Female,Food and beverages,80.36,4,16.072,337.512,2021-02-23,18:45,Credit card,321.44,4.761904762,16.072,8.3,19.7633,96.0785
84,84.0,360-39-5055,C,Naypyitaw,Member,Male,Sports and travel,48.91,5,12.2275,256.7775,2021-03-09,10:17,Cash,244.55,4.761904762,12.2275,6.6,19.7633,96.0785
85,85.0,730-50-9884,C,Naypyitaw,Normal,Female,Sports and travel,83.06,7,29.071,610.491,2021-03-05,14:31,Ewallet,581.42,4.761904762,29.071,4.0,19.7633,96.0785
86,86.0,362-58-8315,C,Naypyitaw,Normal,Male,Fashion accessories,76.52,5,19.13,401.73,2021-03-25,10:23,Cash,382.6,4.761904762,19.13,9.9,19.7633,96.0785
87,87.0,633-44-8566,A,Yangon,Member,Male,Food and beverages,49.38,7,17.283,362.943,2021-03-27,20:35,Credit card,345.66,4.761904762,17.283,7.3,16.8409,96.1735
88,88.0,504-35-8843,A,Yangon,Normal,Male,Sports and travel,42.47,1,2.1235,44.5935,2021-01-02,16:57,Cash,42.47,4.761904762,2.1235,5.7,16.8409,96.1735
89,89.0,318-68-5053,B,Mandalay,Normal,Female,Health and beauty,76.99,6,23.097,485.037,2021-02-27,17:55,Cash,461.94,4.761904762,23.097,6.1,21.9588,96.0891
90,90.0,565-80-5980,C,Naypyitaw,Member,Female,Home and lifestyle,47.38,4,9.476,198.996,2021-01-23,10:25,Cash,189.52,4.761904762,9.476,7.1,19.7633,96.0785
91,91.0,225-32-0908,C,Naypyitaw,Normal,Female,Sports and travel,44.86,10,22.43,471.03,2021-01-26,19:54,Ewallet,448.6,4.761904762,22.43,8.2,19.7633,96.0785
92,92.0,873-51-0671,A,Yangon,Member,Female,Sports and travel,21.98,7,7.693,161.553,2021-01-10,16:42,Ewallet,153.86,4.761904762,7.693,5.1,16.8409,96.1735
93,93.0,152-08-9985,B,Mandalay,Member,Male,Health and beauty,64.36,9,28.962,608.202,2021-03-12,12:09,Credit card,579.24,4.761904762,28.962,8.6,21.9588,96.0891
94,94.0,512-91-0811,C,Naypyitaw,Normal,Male,Health and beauty,89.75,1,4.4875,94.2375,2021-02-06,20:05,Credit card,89.75,4.761904762,4.4875,6.6,19.7633,96.0785
95,95.0,594-34-4444,A,Yangon,Normal,Male,Electronic accessories,97.16,1,4.858,102.018,2021-03-08,20:38,Ewallet,97.16,4.761904762,4.858,7.2,16.8409,96.1735
96,96.0,766-85-7061,B,Mandalay,Normal,Male,Health and beauty,87.87,10,43.935,922.635,2021-03-29,10:25,Ewallet,878.7,4.761904762,43.935,5.1,21.9588,96.0891
97,97.0,871-39-9221,C,Naypyitaw,Normal,Female,Electronic accessories,12.45,6,3.735,78.435,2021-02-09,13:11,Cash,74.7,4.761904762,3.735,4.1,19.7633,96.0785
98,98.0,865-92-6136,A,Yangon,Normal,Male,Food and beverages,52.75,3,7.9125,166.1625,2021-03-23,10:16,Ewallet,158.25,4.761904762,7.9125,9.3,16.8409,96.1735
99,99.0,733-01-9107,B,Mandalay,Normal,Male,Home and lifestyle,82.7,6,24.81,521.01,2021-03-05,18:14,Cash,496.2,4.761904762,24.81,7.4,21.9588,96.0891
100,100.0,163-56-7055,C,Naypyitaw,Member,Male,Fashion accessories,48.71,1,2.4355,51.1455,2021-03-26,19:20,Cash,48.71,4.761904762,2.4355,4.1,19.7633,96.0785
101,101.0,189-98-2939,C,Naypyitaw,Normal,Male,Fashion accessories,78.55,9,35.3475,742.2975,2021-03-01,13:22,Cash,706.95,4.761904762,35.3475,7.2,19.7633,96.0785
102,102.0,551-21-3069,C,Naypyitaw,Normal,Female,Electronic accessories,23.07,9,10.3815,218.0115,2021-02-01,11:27,Cash,207.63,4.761904762,10.3815,4.9,19.7633,96.0785
103,103.0,212-62-1842,A,Yangon,Normal,Male,Food and beverages,58.26,6,17.478,367.038,2021-03-28,16:44,Cash,349.56,4.761904762,17.478,9.9,16.8409,96.1735
104,104.0,716-39-1409,B,Mandalay,Normal,Male,Health and beauty,30.35,7,10.6225,223.0725,2021-03-19,18:19,Cash,212.45,4.761904762,10.6225,8.0,21.9588,96.0891
105,105.0,704-48-3927,A,Yangon,Member,Male,Electronic accessories,88.67,10,44.335,931.035,2021-01-12,14:50,Ewallet,886.7,4.761904762,44.335,7.3,16.8409,96.1735
106,106.0,628-34-3388,C,Naypyitaw,Normal,Male,Fashion accessories,27.38,6,8.214,172.494,2021-01-05,20:54,Credit card,164.28,4.761904762,8.214,7.9,19.7633,96.0785
107,107.0,630-74-5166,A,Yangon,Normal,Male,Sports and travel,62.13,6,18.639,391.419,2021-03-22,20:19,Cash,372.78,4.761904762,18.639,7.4,16.8409,96.1735
108,108.0,588-01-7461,C,Naypyitaw,Normal,Female,Food and beverages,33.98,9,15.291,321.111,2021-03-24,10:43,Cash,305.82,4.761904762,15.291,4.2,19.7633,96.0785
109,109.0,861-77-0145,C,Naypyitaw,Member,Male,Electronic accessories,81.97,10,40.985,860.685,2021-03-03,14:30,Cash,819.7,4.761904762,40.985,9.2,19.7633,96.0785
110,110.0,479-26-8945,B,Mandalay,Member,Female,Sports and travel,16.49,2,1.649,34.629,2021-02-05,11:32,Ewallet,32.98,4.761904762,1.649,4.6,21.9588,96.0891
111,111.0,210-67-5886,C,Naypyitaw,Member,Female,Health and beauty,98.21,3,14.7315,309.3615,2021-02-05,10:41,Credit card,294.63,4.761904762,14.7315,7.8,19.7633,96.0785
112,112.0,227-78-1148,B,Mandalay,Normal,Female,Fashion accessories,72.84,7,25.494,535.374,2021-02-15,12:44,Cash,509.88,4.761904762,25.494,8.4,21.9588,96.0891
113,113.0,645-44-1170,A,Yangon,Member,Male,Home and lifestyle,58.07,9,26.1315,548.7615,2021-01-19,20:07,Ewallet,522.63,4.761904762,26.1315,4.3,16.8409,96.1735
114,114.0,237-01-6122,C,Naypyitaw,Member,Female,Home and lifestyle,80.79,9,36.3555,763.4655,2021-02-01,20:31,Credit card,727.11,4.761904762,36.3555,9.5,19.7633,96.0785
115,115.0,225-98-1496,C,Naypyitaw,Normal,Female,Fashion accessories,27.02,3,4.053,85.113,2021-03-02,13:01,Credit card,81.06,4.761904762,4.053,7.1,19.7633,96.0785
116,116.0,291-32-1427,B,Mandalay,Member,Male,Fashion accessories,21.94,5,5.485,115.185,2021-03-05,12:29,Ewallet,109.7,4.761904762,5.485,5.3,21.9588,96.0891
117,117.0,659-65-8956,B,Mandalay,Member,Male,Fashion accessories,51.36,1,2.568,53.928,2021-01-16,15:26,Ewallet,51.36,4.761904762,2.568,5.2,21.9588,96.0891
118,118.0,642-32-2990,A,Yangon,Normal,Female,Food and beverages,10.96,10,5.48,115.08,2021-02-02,20:48,Ewallet,109.6,4.761904762,5.48,6.0,16.8409,96.1735
119,119.0,378-24-2715,B,Mandalay,Normal,Male,Home and lifestyle,53.44,2,5.344,112.224,2021-01-20,20:38,Ewallet,106.88,4.761904762,5.344,4.1,21.9588,96.0891
120,120.0,638-60-7125,A,Yangon,Normal,Female,Electronic accessories,99.56,8,39.824,836.304,2021-02-14,17:03,Credit card,796.48,4.761904762,39.824,5.2,16.8409,96.1735
121,121.0,659-36-1684,C,Naypyitaw,Member,Male,Sports and travel,57.12,7,19.992,419.832,2021-01-12,12:02,Credit card,399.84,4.761904762,19.992,6.5,19.7633,96.0785
122,122.0,219-22-9386,B,Mandalay,Member,Male,Sports and travel,99.96,9,44.982,944.622,2021-03-09,17:26,Credit card,899.64,4.761904762,44.982,4.2,21.9588,96.0891
123,123.0,336-78-2147,C,Naypyitaw,Member,Male,Home and lifestyle,63.91,8,25.564,536.844,2021-03-13,19:52,Credit card,511.28,4.761904762,25.564,4.6,19.7633,96.0785
124,124.0,268-27-6179,B,Mandalay,Member,Female,Fashion accessories,56.47,8,22.588,474.348,2021-03-09,14:57,Ewallet,451.76,4.761904762,22.588,7.3,21.9588,96.0891
125,125.0,668-90-8900,A,Yangon,Normal,Female,Home and lifestyle,93.69,7,32.7915,688.6215,2021-03-10,18:44,Credit card,655.83,4.761904762,32.7915,4.5,16.8409,96.1735
126,126.0,870-54-3162,A,Yangon,Normal,Female,Sports and travel,32.25,5,8.0625,169.3125,2021-01-27,13:26,Cash,161.25,4.761904762,8.0625,9.0,16.8409,96.1735
127,127.0,189-08-9157,C,Naypyitaw,Normal,Female,Fashion accessories,31.73,9,14.2785,299.8485,2021-01-08,16:17,Credit card,285.57,4.761904762,14.2785,5.9,19.7633,96.0785
128,128.0,663-86-9076,C,Naypyitaw,Member,Female,Food and beverages,68.54,8,27.416,575.736,2021-01-08,15:57,Ewallet,548.32,4.761904762,27.416,8.5,19.7633,96.0785
129,129.0,549-84-7482,B,Mandalay,Normal,Female,Sports and travel,90.28,9,40.626,853.146,2021-02-08,11:15,Ewallet,812.52,4.761904762,40.626,7.2,21.9588,96.0891
130,130.0,191-10-6171,B,Mandalay,Normal,Female,Fashion accessories,39.62,7,13.867,291.207,2021-01-25,13:18,Cash,277.34,4.761904762,13.867,7.5,21.9588,96.0891
131,131.0,802-70-5316,A,Yangon,Member,Female,Sports and travel,92.13,6,27.639,580.419,2021-03-06,20:34,Cash,552.78,4.761904762,27.639,8.3,16.8409,96.1735
132,132.0,695-51-0018,B,Mandalay,Normal,Female,Sports and travel,34.84,4,6.968,146.328,2021-02-10,18:36,Cash,139.36,4.761904762,6.968,7.4,21.9588,96.0891
133,133.0,590-83-4591,B,Mandalay,Member,Male,Electronic accessories,87.45,6,26.235,550.935,2021-02-17,14:40,Credit card,524.7,4.761904762,26.235,8.8,21.9588,96.0891
134,134.0,483-71-1164,C,Naypyitaw,Normal,Female,Health and beauty,81.3,6,24.39,512.19,2021-03-08,16:43,Ewallet,487.8,4.761904762,24.39,5.3,19.7633,96.0785
135,135.0,597-78-7908,C,Naypyitaw,Normal,Male,Fashion accessories,90.22,3,13.533,284.193,2021-02-18,19:39,Cash,270.66,4.761904762,13.533,6.2,19.7633,96.0785
136,136.0,700-81-1757,A,Yangon,Normal,Female,Electronic accessories,26.31,5,6.5775,138.1275,2021-01-18,20:59,Credit card,131.55,4.761904762,6.5775,8.8,16.8409,96.1735
137,137.0,354-39-5160,A,Yangon,Member,Female,Home and lifestyle,34.42,6,10.326,216.846,2021-02-18,15:39,Cash,206.52,4.761904762,10.326,9.8,16.8409,96.1735
138,138.0,241-72-9525,B,Mandalay,Normal,Male,Sports and travel,51.91,10,25.955,545.055,2021-02-16,12:21,Cash,519.1,4.761904762,25.955,8.2,21.9588,96.0891
139,139.0,575-30-8091,A,Yangon,Normal,Male,Sports and travel,72.5,8,29.0,609.0,2021-03-16,19:25,Ewallet,580.0,4.761904762,29.0,9.2,16.8409,96.1735
140,140.0,731-81-9469,C,Naypyitaw,Member,Female,Sports and travel,89.8,10,44.9,942.9,2021-01-23,13:00,Credit card,898.0,4.761904762,44.9,5.4,19.7633,96.0785
141,141.0,280-17-4359,C,Naypyitaw,Member,Male,Health and beauty,90.5,10,45.25,950.25,2021-01-25,13:48,Cash,905.0,4.761904762,45.25,8.1,19.7633,96.0785
142,142.0,338-65-2210,C,Naypyitaw,Member,Female,Health and beauty,68.6,10,34.3,720.3,2021-02-05,19:57,Cash,686.0,4.761904762,34.3,9.1,19.7633,96.0785
143,143.0,488-25-4221,C,Naypyitaw,Member,Female,Food and beverages,30.41,1,1.5205,31.9305,2021-02-22,10:36,Credit card,30.41,4.761904762,1.5205,8.4,19.7633,96.0785
144,144.0,239-10-7476,A,Yangon,Normal,Female,Home and lifestyle,77.95,6,23.385,491.085,2021-01-21,16:37,Ewallet,467.7,4.761904762,23.385,8.0,16.8409,96.1735
145,145.0,458-41-1477,C,Naypyitaw,Normal,Female,Health and beauty,46.26,6,13.878,291.438,2021-03-08,17:11,Credit card,277.56,4.761904762,13.878,9.5,19.7633,96.0785
